T_C,X_CO2_pct,y_CO2,y_H2,y_CO,y_H2O,stable_phases,nearest_reduced_phase,margin_kJ_per_mol_O
400.0,22.237122766950808,0.0777628772330491,0.07776287723304882,0.022237122766951025,0.022237122766951185,TiO2,Ti10O19,74.07792405543114
425.0,24.41102179406517,0.07558897820593471,0.07558897820593417,0.024411021794065728,0.024411021794065728,TiO2,Ti10O19,73.16262389417898
450.0,26.54505875279703,0.07345494124720296,0.07345494124720348,0.026545058752796603,0.026545058752796412,TiO2,Ti10O19,72.24406691894546
475.0,28.626006639138218,0.07137399336086181,0.07137399336086256,0.028626006639137412,0.028626006639137412,TiO2,Ti10O19,71.3217789510727
500.0,30.643821781010633,0.06935617821898926,0.06935617821898926,0.03064382178101076,0.03064382178101076,TiO2,Ti10O19,70.39531639384404
525.0,32.59126308957938,0.06740873691042054,0.0674087369104203,0.0325912630895796,0.0325912630895796,TiO2,Ti10O19,69.4642652270295
550.0,34.463484836240085,0.06553651516375951,0.0655365151637558,0.03446348483624342,0.034463484836245374,TiO2,Ti10O19,68.52823980572794
575.0,36.25763610725726,0.06374236389274275,0.06374236389274367,0.03625763610725623,0.03625763610725623,TiO2,Ti10O19,67.5868815305239
600.0,37.97248787536329,0.0620275121246366,0.06202751212463616,0.037972487875363774,0.037972487875363774,TiO2,Ti10O19,66.63985744179718
625.0,39.608099225361535,0.06039190077463842,0.06039190077463885,0.039608099225360946,0.039608099225361515,TiO2,Ti10O19,65.68685877859753
650.0,41.165527515940425,0.058834472484059534,0.0588344724840589,0.041165527515940846,0.041165527515940846,TiO2,Ti10O19,64.72759953287914
675.0,42.64658273381385,0.05735341726618614,0.05735341726618655,0.042646582733813485,0.042646582733813485,TiO2,Ti10O19,63.761815021609436
700.0,44.053623502840765,0.05594637649715925,0.05594637649715985,0.04405362350283999,0.04405362350283967,TiO2,Ti10O19,62.78926049317943
725.0,45.38939068331514,0.05461060931668479,0.05461060931668595,0.04538939068331491,0.04538939068331459,TiO2,Ti10O19,61.80970977949164
750.0,46.66152745977749,0.05333847254022241,0.053338472540221844,0.04666152745977806,0.04666152745977806,TiO2,Ti10O19,60.824367885003085
775.0,47.86388327780185,0.05213611672219815,0.05213611672219833,0.04786388327780194,0.04786388327780126,TiO2,Ti10O19,59.83025819666
800.0,49.00432894471645,0.05099567105528351,0.050995671055282965,0.049004328944716895,0.049004328944716895,TiO2,Ti10O19,58.828591413996946
825.0,50.08603576035869,0.04991396423964127,0.04991396423964145,0.05008603576035859,0.05008603576035859,TiO2,Ti10O19,57.81919628866035
850.0,51.11213206768453,0.04888786793231547,0.04888786793231564,0.051112132067684266,0.051112132067684266,TiO2,Ti10O19,56.801915866357376
875.0,52.08566881972515,0.0479143311802748,0.047914331180274966,0.05208566881972544,0.052085668819725255,TiO2,Ti10O19,55.77660639365968
900.0,53.009595154208576,0.046990404845791325,0.046990404845791325,0.05300959515420884,0.05300959515420847,TiO2,Ti10O19,54.74313632851408
925.0,53.88674184862584,0.04611325815137412,0.04611325815137478,0.05388674184862561,0.05388674184862523,TiO2,Ti10O19,53.70138544276506
950.0,54.719810912782364,0.045280189087217565,0.045280189087218856,0.05471981091278207,0.0547198109127811,TiO2,Ti10O19,52.65124400672721
975.0,55.511369905339656,0.04448863009466025,0.0444886300946642,0.0555113699053393,0.055511369905335936,TiO2,Ti10O19,51.592612046921204
1000.0,56.26384983826358,0.04373615016173624,0.04373615016174556,0.05626384983826348,0.05626384983825408,TiO2,Ti10O19,50.52539866938878
1025.0,56.9795457635324,0.043020454236467054,0.043020454236491354,0.05697954576353204,0.05697954576350755,TiO2,Ti10O19,49.44952144184026
1050.0,57.660619325649954,0.04233938067434872,0.04233938067441068,0.05766061932564874,0.057660619325586054,TiO2,Ti10O19,48.36490582875558
1075.0,58.30910271751279,0.04169089728248386,0.04169089728263834,0.05830910271751047,0.05830910271735552,TiO2,Ti10O19,47.27148467418283
1100.0,58.92690360147843,0.041073096398514176,0.04107309639887576,0.058926903601467316,0.05892690360110597,TiO2,Ti10O19,46.1691977275741
1125.0,59.515810657226794,0.04048418934275617,0.040484189343584054,0.059515810657203794,0.05951581065637684,TiO2,Ti10O19,45.057991208697786
1150.0,60.07749949747054,0.039922500502492554,0.039922500504343914,0.06007749949741462,0.06007749949556348,TiO2,Ti10O19,43.93781740776649
1175.0,60.61353875554587,0.03938646124437499,0.03938646124839052,0.06061353875542407,0.06061353875140879,TiO2,Ti10O19,42.80863431765647
1200.0,61.125396198716395,0.03887460380111866,0.03887460380960305,0.06112539619845702,0.061125396189972744,TiO2,Ti10O19,41.6704052952573
1225.0,61.61444475981508,0.038385555239849385,0.03838555525733307,0.06161444475927614,0.06161444474179294,TiO2,Ti10O19,40.523098749213204
