T_C,critical_y_CO2_mol_pct,mu_O_crit_kJ_per_mol,first_phase
400,5.107147948e-05,-362.9696127,Ti10O19
425,0.0001084714424,-363.1826859,Ti10O19
450,0.0002186429448,-363.4043248,Ti10O19
475,0.0004204926797,-363.6339018,Ti10O19
500,0.0007751788931,-363.8708204,Ti10O19
525,0.001375398725,-364.1145143,Ti10O19
550,0.002357136956,-364.3644467,Ti10O19
575,0.003914103983,-364.6201088,Ti10O19
600,0.006315021604,-364.8810195,Ti10O19
625,0.009923834056,-365.1467233,Ti10O19
650,0.01522283166,-365.4167897,Ti10O19
675,0.02283857665,-365.6908117,Ti10O19
700,0.03357041533,-365.9684047,Ti10O19
725,0.04842124517,-366.2492051,Ti10O19
750,0.06863147832,-366.5328693,Ti10O19
775,0.0957076639,-366.8190726,Ti10O19
800,0.1314637247,-367.1075078,Ti10O19
825,0.1780501311,-367.3978848,Ti10O19
850,0.2379866618,-367.6899292,Ti10O19
875,0.3141908103,-367.9833812,Ti10O19
900,0.4100010316,-368.2779954,Ti10O19
925,0.5291926556,-368.5735392,Ti10O19
950,0.6759839465,-368.8697929,Ti10O19
975,0.85502946,-369.166548,Ti10O19
1000,1.071397596,-369.4636074,Ti10O19
1025,1.330529119,-369.7607842,Ti10O19
1050,1.638173496,-370.0579015,Ti10O19
1075,2.000300279,-370.3547914,Ti10O19
1100,2.422983507,-370.6512949,Ti10O19
1125,2.912258307,-370.9472611,Ti10O19
1150,3.473950572,-371.2425471,Ti10O19
1175,4.113482802,-371.537017,Ti10O19
1200,4.835661787,-371.8305422,Ti10O19
1225,5.644456613,-372.1230002,Ti10O19
1250,6.542778265,-372.4142751,Ti10O19
1275,7.532274367,-372.7042567,Ti10O19
1300,8.613154075,-372.9928403,Ti10O19
1325,9.784058276,-373.2799264,Ti10O19
1350,11.04198879,-373.5654207,Ti10O19
1375,12.38230716,-373.8492334,Ti10O19
1400,13.79880879,-374.1312791,Ti10O19
1425,15.28387241,-374.4114769,Ti10O19
1450,16.82867845,-374.6897496,Ti10O19
1475,18.42348377,-374.9660241,Ti10O19
1500,20.05793551,-375.2402306,Ti10O19
