sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
A600,PAB,0.28,-0.4,1,64 (a_axis),BRI,0.0346827,0.0026734,0.353368,0.0136339,2.75588e-07,0.112014,0.00782347,12.9632,0.353368,6.3956,OK,,0.860631,
A600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z2,0.0346827,0.0026734,0.353368,0.0136339,2.75588e-07,0.112014,0.00782347,12.9632,0.329291,6.86324,OK,,0.82052,
A600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z4,0.0346827,0.0026734,0.353368,0.0136339,2.75588e-07,0.112014,0.00782347,12.9632,0.306854,7.36506,OK,,0.782277,
A600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z8,0.0346827,0.0026734,0.353368,0.0136339,2.75588e-07,0.112014,0.00782347,12.9632,0.266463,8.48148,OK,,0.711056,
A600,PAB,0.28,-0.4,1,64 (a_axis),BRI+BASAL,0.0346827,0.0026734,0.353368,0.0136339,2.75588e-07,0.112014,0.00782347,12.9632,0.353368,6.3956,OK,,0.860632,
R500,PAB,0.28,-0.4,1,64 (a_axis),BRI,0.0472114,0.0205656,0.472491,0.10498,4.6633e-07,0.206788,0.0238826,36.0419,0.472491,7.97899,OK,,1.0737,
R500,PAB,0.28,-0.4,1,64 (a_axis),ISO_z2,0.0472114,0.0205656,0.472491,0.10498,4.6633e-07,0.206788,0.0238826,36.0419,0.428939,8.78914,OK,,1.05077,
R500,PAB,0.28,-0.4,1,64 (a_axis),ISO_z4,0.0472114,0.0205656,0.472491,0.10498,4.6633e-07,0.206788,0.0238826,36.0419,0.389401,9.68155,OK,,1.02832,
R500,PAB,0.28,-0.4,1,64 (a_axis),ISO_z8,0.0472114,0.0205656,0.472491,0.10498,4.6633e-07,0.206788,0.0238826,36.0419,0.320922,11.7474,OK,,0.984859,
R500,PAB,0.28,-0.4,1,64 (a_axis),BRI+BASAL,0.0472114,0.0205656,0.472491,0.10498,4.6633e-07,0.206788,0.0238826,36.0419,0.472491,7.97898,OK,,1.0737,
R600,PAB,0.28,-0.4,1,64 (a_axis),BRI,0.0574387,0.101369,0.527499,0.517672,9.03178e-07,0.40052,0.0678948,92.4864,0.527499,7.43129,OK,,1,
R600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z2,0.0574387,0.101369,0.527499,0.517672,9.03178e-07,0.40052,0.0678948,92.4864,0.468647,8.3645,OK,,1,
R600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z4,0.0574387,0.101369,0.527499,0.517672,9.03178e-07,0.40052,0.0678948,92.4864,0.416361,9.4149,OK,,1,
R600,PAB,0.28,-0.4,1,64 (a_axis),ISO_z8,0.0574387,0.101369,0.527499,0.517672,9.03178e-07,0.40052,0.0678948,92.4864,0.328639,11.928,OK,,1,
R600,PAB,0.28,-0.4,1,64 (a_axis),BRI+BASAL,0.0574387,0.101369,0.527499,0.517672,9.03178e-07,0.40052,0.0678948,92.4864,0.5275,7.43128,OK,,1,
R800,PAB,0.28,-0.4,1,64 (a_axis),BRI,0.0598332,0.254972,0.455632,1.30238,1.88452e-06,0.725379,0.164859,190.452,0.455632,4.41145,OK,,0.593632,
R800,PAB,0.28,-0.4,1,64 (a_axis),ISO_z2,0.0598332,0.254972,0.455632,1.30238,1.88452e-06,0.725379,0.164859,190.452,0.40274,4.99081,OK,,0.596666,
R800,PAB,0.28,-0.4,1,64 (a_axis),ISO_z4,0.0598332,0.254972,0.455632,1.30238,1.88452e-06,0.725379,0.164859,190.452,0.355988,5.64625,OK,,0.599714,
