sample,status,diameter_nm,energy_map,closure,reactive,theta_bri,N_react_umol_g,TOF_s_1,iterations,inventory_residual,charge_residual
A600,VALID,900,PAB,NEUTRAL,BRI,0.669792,9.08108,0.248869,12,7.1e-15,0.0e+00
A600,VALID,900,PAB,NEUTRAL,ISO_z2,0.669792,0.990178,2.28242,12,7.1e-15,0.0e+00
A600,INVALID,900,PAB,NEUTRAL,ISO_z4,0.669792,0.107966,20.9324,12,7.1e-15,0.0e+00
A600,INVALID,900,PAB,NEUTRAL,ISO_z8,0.669792,0.00128363,1760.63,12,7.1e-15,0.0e+00
R500,VALID,900,PAB,NEUTRAL,BRI,0.959793,13.0129,0.289712,12,-7.1e-15,0.0e+00
R500,INVALID,900,PAB,NEUTRAL,ISO_z2,0.959793,0.021037,179.208,12,-7.1e-15,0.0e+00
R500,INVALID,900,PAB,NEUTRAL,ISO_z4,0.959793,3.40089e-05,110853,12,-7.1e-15,0.0e+00
R500,INVALID,900,PAB,NEUTRAL,ISO_z8,0.959793,8.88814e-11,4.24161e+10,12,-7.1e-15,0.0e+00
R600,VALID,900,PAB,NEUTRAL,BRI,0.991963,13.4491,0.291469,10,2.6e-11,0.0e+00
R600,INVALID,900,PAB,NEUTRAL,ISO_z2,0.991963,0.000868682,4512.58,10,2.6e-11,0.0e+00
R600,INVALID,900,PAB,NEUTRAL,ISO_z4,0.991963,5.61085e-08,6.98647e+07,10,2.6e-11,0.0e+00
R600,INVALID,900,PAB,NEUTRAL,ISO_z8,0.991963,2.3408e-16,1.67464e+16,10,2.6e-11,0.0e+00
R800,VALID,900,PAB,NEUTRAL,BRI,0.996744,13.5139,0.148736,10,5.7e-14,0.0e+00
R800,INVALID,900,PAB,NEUTRAL,ISO_z2,0.996744,0.000143257,14030.7,10,5.7e-14,0.0e+00
R800,INVALID,900,PAB,NEUTRAL,ISO_z4,0.996744,1.51863e-09,1.32356e+09,10,5.7e-14,0.0e+00
R800,INVALID,900,PAB,NEUTRAL,ISO_z8,0.996744,1.70657e-19,1.1778e+19,10,5.7e-14,0.0e+00
R1000,VALID,900,PAB,NEUTRAL,BRI,0.999307,13.5487,0.00335088,8,0.0e+00,0.0e+00
R1000,INVALID,900,PAB,NEUTRAL,ISO_z2,0.999307,6.50182e-06,6982.66,8,0.0e+00,0.0e+00
R1000,INVALID,900,PAB,NEUTRAL,ISO_z4,0.999307,3.12013e-12,1.45507e+10,8,0.0e+00,0.0e+00
R1000,INVALID,900,PAB,NEUTRAL,ISO_z8,0.999307,7.18538e-25,6.31839e+22,8,0.0e+00,0.0e+00
A600,VALID,900,HAM,NEUTRAL,BRI,0.924966,12.5407,0.180213,13,1.8e-15,0.0e+00
A600,INVALID,900,HAM,NEUTRAL,ISO_z2,0.924966,0.0706062,32.0085,13,1.8e-15,0.0e+00
A600,INVALID,900,HAM,NEUTRAL,ISO_z4,0.924966,0.000397523,5685.21,13,1.8e-15,0.0e+00
A600,INVALID,900,HAM,NEUTRAL,ISO_z8,0.924966,1.26009e-08,1.79353e+08,13,1.8e-15,0.0e+00
R500,VALID,900,HAM,NEUTRAL,BRI,0.999739,13.5545,0.278136,12,6.4e-14,0.0e+00
R500,INVALID,900,HAM,NEUTRAL,ISO_z2,0.999739,9.21595e-07,4.09073e+06,12,6.4e-14,0.0e+00
R500,INVALID,900,HAM,NEUTRAL,ISO_z4,0.999739,6.26608e-14,6.01652e+13,12,6.4e-14,0.0e+00
R500,INVALID,900,HAM,NEUTRAL,ISO_z8,0.999739,2.89673e-28,1.30147e+28,12,6.4e-14,0.0e+00
R600,VALID,900,HAM,NEUTRAL,BRI,0.99996,13.5575,0.289138,10,4.3e-11,0.0e+00
R600,INVALID,900,HAM,NEUTRAL,ISO_z2,0.99996,2.18373e-08,1.79509e+08,10,4.3e-11,0.0e+00
R600,INVALID,900,HAM,NEUTRAL,ISO_z4,0.99996,3.51736e-17,1.11447e+17,10,4.3e-11,0.0e+00
R600,INVALID,900,HAM,NEUTRAL,ISO_z8,0.99996,9.12546e-35,4.29568e+34,10,4.3e-11,0.0e+00
R800,VALID,900,HAM,NEUTRAL,BRI,0.999984,13.5578,0.148254,10,-2.8e-14,0.0e+00
R800,INVALID,900,HAM,NEUTRAL,ISO_z2,0.999984,3.50536e-09,5.73408e+08,10,-2.8e-14,0.0e+00
R800,INVALID,900,HAM,NEUTRAL,ISO_z4,0.999984,9.06304e-19,2.2178e+18,10,-2.8e-14,0.0e+00
R800,INVALID,900,HAM,NEUTRAL,ISO_z8,0.999984,6.05839e-38,3.31771e+37,10,-2.8e-14,0.0e+00
R1000,VALID,900,HAM,NEUTRAL,BRI,0.999997,13.558,0.00334857,8,-1.1e-13,0.0e+00
R1000,INVALID,900,HAM,NEUTRAL,ISO_z2,0.999997,1.58413e-10,2.86593e+08,8,-1.1e-13,0.0e+00
R1000,INVALID,900,HAM,NEUTRAL,ISO_z4,0.999997,1.8509e-21,2.45286e+19,8,-1.1e-13,0.0e+00
R1000,INVALID,900,HAM,NEUTRAL,ISO_z8,0.999997,2.5268e-43,1.79674e+41,8,-1.1e-13,0.0e+00
A600,VALID,900,LI_SBR1,NEUTRAL,BRI,0.974982,13.2189,0.170968,14,-4.4e-13,0.0e+00
A600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z2,0.974982,0.00827368,273.155,14,-4.4e-13,0.0e+00
A600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z4,0.974982,5.17849e-06,436420,14,-4.4e-13,0.0e+00
A600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z8,0.974982,2.02868e-12,1.11403e+12,14,-4.4e-13,0.0e+00
R500,VALID,900,LI_SBR1,NEUTRAL,BRI,0.99994,13.5573,0.27808,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_SBR1,NEUTRAL,ISO_z2,0.99994,4.80665e-08,7.8433e+07,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_SBR1,NEUTRAL,ISO_z4,0.99994,1.70417e-16,2.21222e+16,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_SBR1,NEUTRAL,ISO_z8,0.99994,2.14217e-33,1.7599e+33,12,0.0e+00,0.0e+00
R600,VALID,900,LI_SBR1,NEUTRAL,BRI,0.99999,13.5579,0.28913,10,3.7e-11,0.0e+00
R600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z2,0.99999,1.40753e-09,2.78501e+09,10,3.7e-11,0.0e+00
R600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z4,0.99999,1.46125e-19,2.68263e+19,10,3.7e-11,0.0e+00
R600,INVALID,900,LI_SBR1,NEUTRAL,ISO_z8,0.99999,1.57491e-39,2.48902e+39,10,3.7e-11,0.0e+00
R800,VALID,900,LI_SBR1,NEUTRAL,BRI,0.999996,13.558,0.148252,10,0.0e+00,0.0e+00
R800,INVALID,900,LI_SBR1,NEUTRAL,ISO_z2,0.999996,2.28742e-10,8.78719e+09,10,0.0e+00,0.0e+00
R800,INVALID,900,LI_SBR1,NEUTRAL,ISO_z4,0.999996,3.85919e-21,5.20834e+20,10,0.0e+00,0.0e+00
R800,INVALID,900,LI_SBR1,NEUTRAL,ISO_z8,0.999996,1.09849e-42,1.82978e+42,10,0.0e+00,0.0e+00
R1000,VALID,900,LI_SBR1,NEUTRAL,BRI,0.999999,13.558,0.00334856,8,0.0e+00,0.0e+00
R1000,INVALID,900,LI_SBR1,NEUTRAL,ISO_z2,0.999999,1.05828e-11,4.28996e+09,8,0.0e+00,0.0e+00
R1000,INVALID,900,LI_SBR1,NEUTRAL,ISO_z4,0.999999,8.26053e-24,5.49601e+21,8,0.0e+00,0.0e+00
R1000,INVALID,900,LI_SBR1,NEUTRAL,ISO_z8,0.999999,5.03291e-48,9.02063e+45,8,0.0e+00,0.0e+00
A600,VALID,900,LI_L2,NEUTRAL,BRI,0.956611,12.9698,0.174251,13,1.8e-15,0.0e+00
A600,INVALID,900,LI_L2,NEUTRAL,ISO_z2,0.956611,0.0244174,92.5571,13,1.8e-15,0.0e+00
A600,INVALID,900,LI_L2,NEUTRAL,ISO_z4,0.956611,4.5969e-05,49163.6,13,1.8e-15,0.0e+00
A600,INVALID,900,LI_L2,NEUTRAL,ISO_z8,0.956611,1.62928e-10,1.38711e+10,13,1.8e-15,0.0e+00
R500,VALID,900,LI_L2,NEUTRAL,BRI,0.99943,13.5503,0.278222,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_L2,NEUTRAL,ISO_z2,0.99943,4.39505e-06,857783,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_L2,NEUTRAL,ISO_z4,0.99943,1.42553e-12,2.64462e+12,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_L2,NEUTRAL,ISO_z8,0.99943,1.4997e-25,2.51383e+25,11,1.4e-14,0.0e+00
R600,VALID,900,LI_L2,NEUTRAL,BRI,0.999977,13.5577,0.289134,11,4.3e-14,0.0e+00
R600,INVALID,900,LI_L2,NEUTRAL,ISO_z2,0.999977,7.385e-09,5.30806e+08,11,4.3e-14,0.0e+00
R600,INVALID,900,LI_L2,NEUTRAL,ISO_z4,0.999977,4.02266e-18,9.7448e+17,11,4.3e-14,0.0e+00
R600,INVALID,900,LI_L2,NEUTRAL,ISO_z8,0.999977,1.19354e-36,3.28434e+36,11,4.3e-14,0.0e+00
R800,VALID,900,LI_L2,NEUTRAL,BRI,0.999995,13.558,0.148252,10,-2.8e-14,0.0e+00
R800,INVALID,900,LI_L2,NEUTRAL,ISO_z2,0.999995,3.96709e-10,5.06669e+09,10,-2.8e-14,0.0e+00
R800,INVALID,900,LI_L2,NEUTRAL,ISO_z4,0.999995,1.16078e-20,1.7316e+20,10,-2.8e-14,0.0e+00
R800,INVALID,900,LI_L2,NEUTRAL,ISO_z8,0.999995,9.93807e-42,2.02253e+41,10,-2.8e-14,0.0e+00
R1000,VALID,900,LI_L2,NEUTRAL,BRI,0.999999,13.558,0.00334856,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_L2,NEUTRAL,ISO_z2,0.999999,1.18175e-11,3.84177e+09,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_L2,NEUTRAL,ISO_z4,0.999999,1.03003e-23,4.40762e+21,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_L2,NEUTRAL,ISO_z8,0.999999,7.82539e-48,5.80163e+45,8,-1.1e-13,0.0e+00
A600,VALID,900,LI_CONT_xi0.25,NEUTRAL,BRI,0.990385,13.4277,0.168309,13,-1.8e-15,0.0e+00
A600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.990385,0.00124124,1820.76,13,-1.8e-15,0.0e+00
A600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.990385,1.14739e-07,1.96969e+07,13,-1.8e-15,0.0e+00
A600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.990385,9.80434e-16,2.3051e+15,13,-1.8e-15,0.0e+00
R500,VALID,900,LI_CONT_xi0.25,NEUTRAL,BRI,0.999875,13.5564,0.278098,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999875,2.12221e-07,1.77645e+07,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999875,3.32227e-15,1.13477e+15,12,0.0e+00,0.0e+00
R500,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999875,8.14191e-31,4.63036e+30,12,0.0e+00,0.0e+00
R600,VALID,900,LI_CONT_xi0.25,NEUTRAL,BRI,0.999986,13.5579,0.289131,11,-1.4e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999986,2.6367e-09,1.48671e+09,11,-1.4e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999986,5.12779e-19,7.64462e+18,11,-1.4e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999986,1.93941e-38,2.02124e+38,11,-1.4e-14,0.0e+00
R800,VALID,900,LI_CONT_xi0.25,NEUTRAL,BRI,0.999995,13.558,0.148252,10,5.7e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999995,3.23225e-10,6.21859e+09,10,5.7e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999995,7.70572e-21,2.60845e+20,10,5.7e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999995,4.37956e-42,4.5895e+41,10,5.7e-14,0.0e+00
R1000,VALID,900,LI_CONT_xi0.25,NEUTRAL,BRI,0.999999,13.558,0.00334856,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z2,0.999999,1.19278e-11,3.80625e+09,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z4,0.999999,1.04935e-23,4.32649e+21,8,-1.1e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.25,NEUTRAL,ISO_z8,0.999999,8.12164e-48,5.59e+45,8,-1.1e-13,0.0e+00
A600,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.917409,12.4383,0.181697,12,0.0e+00,0.0e+00
A600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.917409,0.0848442,26.6371,12,0.0e+00,0.0e+00
A600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.917409,0.00057874,3905.04,12,0.0e+00,0.0e+00
A600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.917409,2.69281e-08,8.39272e+07,12,0.0e+00,0.0e+00
R500,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.997587,13.5253,0.278736,12,2.1e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.997587,7.87773e-05,47856.4,12,2.1e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.997587,4.58832e-10,8.21651e+09,12,2.1e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.997587,1.55654e-20,2.42204e+20,12,2.1e-14,0.0e+00
R600,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.999962,13.5575,0.289138,11,-2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999962,1.99053e-08,1.96932e+08,11,-2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999962,2.92252e-17,1.34131e+17,11,-2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999962,6.29991e-35,6.22231e+34,11,-2.8e-14,0.0e+00
R800,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.999993,13.558,0.148252,10,2.8e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999993,7.23692e-10,2.77742e+09,10,2.8e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999993,3.8629e-20,5.20334e+19,10,2.8e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999993,1.10061e-40,1.82626e+40,10,2.8e-14,0.0e+00
R1000,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.999999,13.558,0.00334856,8,4.5e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999999,1.45959e-11,3.11046e+09,8,4.5e-13,0.0e+00
