sample,family,variant,n,below_threshold,median_log10_change,min_log10_change,max_log10_change
A600,aggregates,MC cutoff 0.28 nm,40,0,+0.000,-0.049,+0.226
A600,aggregates,MC cutoff 0.34 nm,36,4,+0.000,-0.036,+0.480
A600,aggregates,MC cutoff 0.4 nm,36,4,+0.180,+0.000,+0.857
A600,aggregates,MC cutoff 0.45 nm,0,40,,,
A600,aggregates,MC cutoff 0.6 nm,0,40,,,
A600,aggregates,MC cutoff 1 nm,0,40,,,
A600,basal,alpha 1,8,0,-0.000,-0.000,+0.000
A600,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",19,13,+0.249,-0.634,+0.603
A600,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",19,13,+0.191,-0.638,+0.603
A600,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",18,14,+0.348,-0.598,+0.634
A600,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",20,12,+0.614,-0.593,+0.994
A600,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",20,12,+0.614,-0.614,+0.985
A600,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",19,13,+0.614,-0.375,+1.111
A600,decay_length,xi 0.25 nm,8,0,-0.001,-0.025,+0.000
A600,decay_length,xi 1 nm,8,0,+0.004,+0.000,+0.048
A600,diameter,1250 nm,40,0,+0.143,+0.129,+0.143
A600,diameter,1600 nm,40,0,+0.250,+0.228,+0.250
A600,facet,f110 0.5,40,0,+0.301,+0.076,+0.352
A600,facet,f110 0.75,40,0,+0.125,+0.027,+0.127
A600,global,eps 107 (c_axis),20,0,+0.000,-0.225,+0.051
A600,global,eps 64 (a_axis),20,0,-0.006,-0.225,+0.156
A600,matsunaga,basal +0.11 eV,20,0,+0.000,-0.556,+0.000
A600,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,-0.033,+0.149
A600,recon_fixed,f_rec 0.25,26,14,+0.133,-0.643,+0.374
A600,recon_fixed,f_rec 0.5,26,14,+0.321,-0.468,+0.608
A600,recon_fixed,f_rec 0.75,18,22,+0.500,-0.167,+0.985
A600,recon_state,dG +0 eV,21,11,-0.003,-0.752,+0.320
A600,recon_state,dG +0.2 eV,21,11,-0.005,-0.758,+0.214
A600,recon_state,dG +0.4 eV,21,11,-0.006,-0.759,+0.206
A600,recon_state,dG -0.2 eV,21,11,+0.001,-0.718,+0.948
A600,recon_state,dG -0.4 eV,18,14,+0.150,-0.594,+0.907
A600,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.116,+0.127
R1000,aggregates,MC cutoff 0.28 nm,40,0,+0.000,+0.000,+0.000
R1000,aggregates,MC cutoff 0.34 nm,40,0,+0.000,-0.035,+0.073
R1000,aggregates,MC cutoff 0.4 nm,40,0,+0.000,-0.052,+0.238
R1000,aggregates,MC cutoff 0.45 nm,16,24,+0.402,+0.043,+0.903
R1000,aggregates,MC cutoff 0.6 nm,0,40,,,
R1000,aggregates,MC cutoff 1 nm,0,40,,,
R1000,basal,alpha 1,8,0,-0.001,-0.132,+0.000
R1000,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",18,14,+0.135,-0.639,+0.665
R1000,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",18,14,+0.108,-0.640,+0.608
R1000,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",16,16,+0.179,-0.617,+0.837
R1000,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",20,12,+0.186,-0.632,+0.730
R1000,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",20,12,+0.145,-0.637,+0.666
R1000,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",18,14,+0.290,-0.570,+0.745
R1000,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R1000,decay_length,xi 1 nm,8,0,+0.000,+0.000,+0.000
R1000,diameter,1250 nm,40,0,+0.143,+0.143,+0.143
R1000,diameter,1600 nm,40,0,+0.250,+0.250,+0.250
R1000,facet,f110 0.5,40,0,+0.301,+0.301,+0.301
R1000,facet,f110 0.75,40,0,+0.125,+0.125,+0.125
R1000,global,eps 107 (c_axis),20,0,+0.000,+0.000,+0.000
R1000,global,eps 64 (a_axis),20,0,+0.000,+0.000,+0.000
R1000,matsunaga,basal +0.11 eV,20,0,+0.000,-1.106,+0.000
R1000,pairs_eq,ZHA2017 at 600 C,40,0,+0.000,+0.000,+0.000
R1000,pairs_frozen,ZHA2017 frozen at 1000 C,40,0,+0.000,+0.000,+0.000
R1000,recon_fixed,f_rec 0.25,14,26,-0.633,-0.645,+0.307
R1000,recon_fixed,f_rec 0.5,14,26,-0.463,-0.469,+0.530
R1000,recon_fixed,f_rec 0.75,13,27,-0.167,-0.167,+0.946
R1000,recon_state,dG +0 eV,10,22,-0.745,-0.770,+0.889
R1000,recon_state,dG +0.2 eV,10,22,-0.752,-0.770,+0.779
R1000,recon_state,dG +0.4 eV,10,22,-0.753,-0.770,+0.771
R1000,recon_state,dG -0.2 eV,9,23,-0.717,-0.770,+0.731
R1000,recon_state,dG -0.4 eV,8,24,-0.683,-0.769,+0.647
R1000,size_mix,"equal mass, 900-1600 nm",40,0,+0.127,+0.127,+0.127
R1100,aggregates,MC cutoff 0.28 nm,40,0,+0.000,+0.000,+0.000
R1100,aggregates,MC cutoff 0.34 nm,40,0,+0.000,+0.000,+0.000
R1100,aggregates,MC cutoff 0.4 nm,40,0,+0.000,-0.053,+0.185
R1100,aggregates,MC cutoff 0.45 nm,16,24,+0.252,-0.033,+0.728
R1100,aggregates,MC cutoff 0.6 nm,0,40,,,
R1100,aggregates,MC cutoff 1 nm,0,40,,,
R1100,basal,alpha 1,8,0,-0.002,-0.209,+0.000
R1100,combined,"MC cutoff 0.34 nm, dG +0 eV, 900-1600 nm",17,15,+0.084,-0.639,+0.591
R1100,combined,"MC cutoff 0.34 nm, dG +0.2 eV, 900-1600 nm",17,15,+0.042,-0.641,+0.494
R1100,combined,"MC cutoff 0.34 nm, dG -0.2 eV, 900-1600 nm",14,18,+0.108,-0.620,+0.842
R1100,combined,"MC cutoff 0.4 nm, dG +0 eV, 900-1600 nm",18,14,+0.145,-0.633,+0.748
R1100,combined,"MC cutoff 0.4 nm, dG +0.2 eV, 900-1600 nm",18,14,+0.143,-0.637,+0.682
R1100,combined,"MC cutoff 0.4 nm, dG -0.2 eV, 900-1600 nm",17,15,+0.173,-0.578,+0.921
R1100,decay_length,xi 0.25 nm,8,0,+0.000,+0.000,+0.000
R1100,decay_length,xi 1 nm,8,0,+0.000,+0.000,+0.000
R1100,diameter,1250 nm,40,0,+0.143,+0.143,+0.143
