sample,energy_map,closure,surface_edges,bulk_barrier,coverage_at_treatment_T,coverage_eq_600C,t_within_1pct_s,mass_drift,coverage_at_1s,coverage_at_10s,coverage_at_60s,coverage_at_600s
R500,PAB,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.984722,0.959793,0.00469174,3.9e-13,0.959793,0.959793,0.959793,0.959793
R800,PAB,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.982635,0.996744,6.48076e-05,3.8e-15,0.996744,0.996744,0.996744,0.996744
R1000,PAB,NEUTRAL,WU,IDDIR_2007 1.1 eV,0.988222,0.999307,3.1756e-09,1.6e-13,0.999307,0.999307,0.999307,0.999307
R500,PAB,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.984722,0.959793,0.94152,8.5e-12,0.968797,0.960034,0.959793,0.959793
R800,PAB,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.982635,0.996744,0.0130053,3.8e-12,0.996685,0.996743,0.996744,0.996744
R1000,PAB,NEUTRAL,WU,UBERUAGA_2011 1.5 eV,0.988222,0.999307,3.1756e-09,2.9e-14,0.999301,0.999307,0.999307,0.999307
R500,PAB,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.984586,0.959793,0.00469174,5.4e-13,0.959793,0.959793,0.959793,0.959793
R800,PAB,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.983404,0.996744,6.48076e-05,2.9e-16,0.996744,0.996744,0.996744,0.996744
R1000,PAB,NEUTRAL,JUG,IDDIR_2007 1.1 eV,0.990727,0.999307,0,4.4e-16,0.999307,0.999307,0.999307,0.999307
R500,PAB,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.984586,0.959793,0.94152,3.4e-12,0.968797,0.960034,0.959793,0.959793
R800,PAB,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.983404,0.996744,0.0130053,6.9e-13,0.996685,0.996743,0.996744,0.996744
R1000,PAB,NEUTRAL,JUG,UBERUAGA_2011 1.5 eV,0.990727,0.999307,0,8.7e-16,0.999301,0.999307,0.999307,0.999307
R500,PAB,LOCAL,WU,IDDIR_2007 1.1 eV,0.147218,0.102503,0.00382628,7.7e-16,0.102503,0.102503,0.102503,0.102503
R800,PAB,LOCAL,WU,IDDIR_2007 1.1 eV,0.242617,0.357693,0.00147743,3.4e-15,0.357693,0.357693,0.357693,0.357693
